Index,Timestamp,Speaker,Utterance,Traits,Justification,Confidence,ClarityScore,UniquenessScore,QualityScore
24,,MOT,you could build a tower too .,NONE,normal statement,0.0,0.0,0.0,0.0
25,,CHI,xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
26,,MOT,mhm .,NONE,simple response,0.0,0.0,0.0,0.0
27,,MOT,that's a phone .,NONE,normal statement,0.0,0.0,0.0,0.0
28,,MOT,what else is in there ?,NONE,normal question,0.0,0.0,0.0,0.0
29,,CHI,&~da .,NONE,unclear utterance,0.0,0.0,0.0,0.0
30,,MOT,oh a spoon !,NONE,normal statement,0.0,0.0,0.0,0.0
31,,MOT,yeah that's how you stir stuff in there .,NONE,normal statement,0.0,0.0,0.0,0.0
32,,MOT,"oh look let me take the block there you can stir stuff , like this .",NONE,normal statement,0.0,0.0,0.0,0.0
33,,MOT,"(o)kay , yeah .",NONE,simple response,0.0,0.0,0.0,0.0
34,,CHI,what's that ?,NONE,normal conversational response,0.0,0.0,0.0,0.0
35,,MOT,oh what is that ?,NONE,normal question,0.0,0.0,0.0,0.0
36,,MOT,that's a brush .,NONE,normal statement,0.0,0.0,0.0,0.0
37,,CHI,a brush !,NONE,normal exclamation,0.0,0.0,0.0,0.0
38,,MOT,yeah you can brush the doll's hair .,NONE,normal statement,0.0,0.0,0.0,0.0
39,,MOT,you wanna brush her hair ?,NONE,normal question,0.0,0.0,0.0,0.0
40,,CHI,what ?,NONE,normal conversational response,0.0,0.0,0.0,0.0
41,,MOT,"here , here's the doll .",NONE,normal statement,0.0,0.0,0.0,0.0
42,,MOT,that's nice you're doing a good_job yeah .,NONE,normal statement,0.0,0.0,0.0,0.0
43,,CHI,what's that ?,NONE,normal conversational response,0.0,0.0,0.0,0.0
44,,MOT,that's a teapot .,NONE,normal statement,0.0,0.0,0.0,0.0
45,,MOT,yeah you know when Mommy drinks tea you pour it in the cup .,NONE,normal statement,0.0,0.0,0.0,0.0
46,,MOT,and that's why we have a spoon .,NONE,normal statement,0.0,0.0,0.0,0.0
47,,MOT,oh you're putting some milk in there .,NONE,normal statement,0.0,0.0,0.0,0.0
48,,MOT,okay you're gonna stir it up ?,NONE,normal question,0.0,0.0,0.0,0.0
49,,MOT,that's good .,NONE,normal statement,0.0,0.0,0.0,0.0
50,,CHI,ice .,NONE,single word response,0.0,0.0,0.0,0.0
51,,MOT,I don't know it might fit .,NONE,normal statement,0.0,0.0,0.0,0.0
52,,MOT,what are we gonna do with the blocks ?,NONE,straightforward question,0.0,0.0,0.0,0.0
53,,CHI,in the cup .,NONE,single word response,0.0,0.0,0.0,0.0
54,,MOT,you wanna take the cup ?,NONE,simple question,0.0,0.0,0.0,0.0
55,,MOT,okay .,NONE,normal conversational response,0.0,0.0,0.0,0.0
56,,CHI,xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
57,,MOT,yeah you hafta brush her hair .,NONE,normal statement,0.0,0.0,0.0,0.0
58,,CHI,woah &~i &~da .,T09,child repeats sounds without context; clarity=0.50; uniqueness=1.00; confidence=0.67,0.67,0.5,1.0,0.0
59,,MOT,a tummy that's her tummy .,NONE,normal statement,0.0,0.0,0.0,0.0
60,,CHI,&~i &~da ?,T09,child repeats sounds without context; clarity=0.50; uniqueness=1.00; confidence=0.67,0.67,0.5,1.0,0.0
61,,MOT,those are her pants .,NONE,normal statement,0.0,0.0,0.0,0.0
62,,CHI,&~i &~a .,T09,child repeats sounds without context; clarity=0.50; uniqueness=1.00; confidence=0.67,0.67,0.5,1.0,0.0
63,,MOT,yeah those are her clothes mhm .,NONE,normal statement,0.0,0.0,0.0,0.0
64,,CHI,here .,NONE,single word response,0.0,0.0,0.0,0.0
65,,MOT,okay ah .,NONE,normal conversational response,0.0,0.0,0.0,0.0
66,,CHI,&~i &~da .,T09,child repeats sounds without context; clarity=0.50; uniqueness=1.00; confidence=0.67,0.67,0.5,1.0,0.0
67,,MOT,that's another baby .,NONE,normal statement,0.0,0.0,0.0,0.0
68,,CHI,baby .,NONE,single word response,0.0,0.0,0.0,0.0
69,,MOT,where's the hat ?,NONE,straightforward question,0.0,0.0,0.0,0.0
70,,MOT,what do you do with the hat ?,NONE,straightforward question,0.0,0.0,0.0,0.0
71,,MOT,that's right .,NONE,simple affirmation,0.0,0.0,0.0,0.0
72,,MOT,oh maybe she has a slippery head .,NONE,normal statement,0.0,0.0,0.0,0.0
73,,MOT,here okay .,NONE,normal conversational response,0.0,0.0,0.0,0.0
74,,CHI,&~i coffee &~tee .,T09,child repeats sounds without context; clarity=0.50; uniqueness=1.00; confidence=0.67,0.67,0.5,1.0,0.0
75,,MOT,yeah .,NONE,normal conversational response,0.0,0.0,0.0,0.0
76,,CHI,in coffee .,T09,child repeats sounds without context; clarity=0.50; uniqueness=1.00; confidence=0.67,0.67,0.5,1.0,0.0
77,,MOT,you wanna put the hat in the cup okay .,NONE,straightforward statement,0.0,0.0,0.0,0.0
78,,MOT,"oh , you gonna have a tea_party ?",NONE,normal question,0.0,0.0,0.0,0.0
79,,CHI,&~nok .,T09,child repeats sounds without context; clarity=0.50; uniqueness=1.00; confidence=0.67,0.67,0.5,1.0,0.0
80,,MOT,what are we gonna do with all the blocks ?,NONE,straightforward question,0.0,0.0,0.0,0.0
81,,MOT,we got more here wow .,NONE,normal statement,0.0,0.0,0.0,0.0
82,,MOT,oh we're gonna take them all out .,NONE,normal statement,0.0,0.0,0.0,0.0
83,,MOT,what do you wanna do ?,NONE,straightforward question,0.0,0.0,0.0,0.0
84,,CHI,that's Nala .,NONE,straightforward statement,0.0,0.0,0.0,0.0
85,,MOT,that's Nala that's right .,NONE,straightforward affirmation,0.0,0.0,0.0,0.0
86,,CHI,that's xxx .,T09,child repeats sounds without context; clarity=0.50; uniqueness=1.00; confidence=0.67,0.67,0.5,1.0,0.0
87,,MOT,yeah you wanna build a tower ?,NONE,straightforward question,0.0,0.0,0.0,0.0
88,,CHI,&~wa &~t &~t .,T09,child repeats sounds without context; clarity=0,0.0,0.0,0.0,0.0
100,,MOT,yeah what are all these things Jack ?,NONE,normal question,0.0,0.0,0.0,0.0
101,,MOT,oh it changes pictures look .,NONE,normal statement,0.0,0.0,0.0,0.0
102,,MOT,you got horsies .,NONE,normal statement,0.0,0.0,0.0,0.0
103,,MOT,what are we gonna do ?,NONE,normal question,0.0,0.0,0.0,0.0
104,,CHI,uhoh .,NONE,simple response,0.0,0.0,0.0,0.0
105,,MOT,mhm what are you making ?,NONE,normal question,0.0,0.0,0.0,0.0
106,,CHI,make here .,NONE,simple response,0.0,0.0,0.0,0.0
107,,MOT,you're making tea .,NONE,normal statement,0.0,0.0,0.0,0.0
108,,CHI,&~ts &~ts .,T33,child makes continuous mouth sounds; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
109,,MOT,oh very nice .,NONE,normal statement,0.0,0.0,0.0,0.0
110,,CHI,&~ts &~ts &~ts .,T33,child makes continuous mouth sounds; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
111,,CHI,tea .,NONE,simple response,0.0,0.0,0.0,0.0
112,,MOT,tea .,NONE,simple response,0.0,0.0,0.0,0.0
113,,CHI,&~ts .,T33,child makes continuous mouth sounds; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
114,,MOT,ah .,NONE,normal expression,0.0,0.0,0.0,0.0
115,,MOT,you wanna build a tower ?,NONE,normal question,0.0,0.0,0.0,0.0
116,,CHI,xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
117,,MOT,okay goes like this .,NONE,normal statement,0.0,0.0,0.0,0.0
118,,MOT,there you go .,NONE,normal statement,0.0,0.0,0.0,0.0
119,,CHI,&~ts I make tea .,T33,child makes continuous mouth sounds; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
120,,MOT,okay you gonna make Mommy some tea ?,NONE,normal question,0.0,0.0,0.0,0.0
121,,MOT,does Mommy get some tea ?,NONE,normal question,0.0,0.0,0.0,0.0
122,,CHI,ah &~pe .,NONE,unclear utterance,0.0,0.0,0.0,0.0
123,,MOT,you gonna put the hat in there ?,NONE,normal question,0.0,0.0,0.0,0.0
124,,MOT,I don't know do we want her hat in our tea ?,NONE,normal statement,0.0,0.0,0.0,0.0
125,,MOT,yeah okay .,NONE,normal conversational response,0.0,0.0,0.0,0.0
126,,MOT,does Mommy get some tea ?,NONE,normal question,0.0,0.0,0.0,0.0
127,,CHI,&~di coffee tea &~bo .,T33,child makes continuous mouth sounds; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
128,,MOT,oh .,NONE,normal conversational response,0.0,0.0,0.0,0.0
129,,CHI,xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
130,,MOT,mhm .,NONE,normal expression,0.0,0.0,0.0,0.0
131,,MOT,wanna build a tower ?,NONE,normal question,0.0,0.0,0.0,0.0
132,,CHI,supper .,NONE,unclear utterance,0.0,0.0,0.0,0.0
133,,MOT,okay we're gonna have supper .,NONE,normal statement,0.0,0.0,0.0,0.0
134,,MOT,oh okay and what are we having for supper ?,NONE,normal question,0.0,0.0,0.0,0.0
135,,CHI,xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
136,,MOT,mm: .,NONE,normal expression,0.0,0.0,0.0,0.0
137,,MOT,does Mommy get tea too ?,NONE,normal question,0.0,0.0,0.0,0.0
138,,CHI,Daddy .,NONE,unclear utterance,0.0,0.0,0.0,0.0
139,,MOT,oh Daddy gets tea .,NONE,normal statement,0.0,0.0,0.0,0.0
140,,MOT,what about Mommy ?,NONE,normal question,0.0,0.0,0.0,0.0
141,,CHI,Daddy's .,NONE,unclear utterance,0.0,0.0,0.0,0.0
142,,MOT,that one's for Daddy okay .,NONE,normal statement,0.0,0.0,0.0,0.0
143,,CHI,xxx Daddy &~boon .,NONE,unclear utterance,0.0,0.0,0.0,0.0
144,,MOT,Daddy has a spoon ?,NONE,normal question,0.0,0.0,0.0,0.0
145,,CHI,Daddy spoon .,NONE,unclear utterance,0.0,0.0,0.0,0.0
146,,MOT,okay what are you gonna do with him ?,NONE,normal question,0.0,0.0,0.0,0.0
150,,CHI,&~thee there .,NONE,unclear utterance without context,0.0,0.0,0.0,0.0
151,,MOT,okay .,NONE,normal conversational response,0.0,0.0,0.0,0.0
152,,CHI,&~da Mommy .,NONE,unclear utterance without context,0.0,0.0,0.0,0.0
153,,MOT,one for Mommy one for Daddy ?,NONE,simple question,0.0,0.0,0.0,0.0
154,,MOT,what's that ?,NONE,normal conversational response,0.0,0.0,0.0,0.0
155,,CHI,&~he &~dat .,NONE,unclear utterance without context,0.0,0.0,0.0,0.0
156,,MOT,oh well give it to Mommy .,NONE,simple instruction,0.0,0.0,0.0,0.0
157,,MOT,what is it ?,NONE,simple question,0.0,0.0,0.0,0.0
158,,CHI,&~bi .,NONE,unclear utterance without context,0.0,0.0,0.0,0.0
159,,MOT,I don't know .,NONE,simple response,0.0,0.0,0.0,0.0
160,,CHI,&~da &~gar .,NONE,unclear utterance without context,0.0,0.0,0.0,0.0
161,,MOT,oh that's right that's garbage okay .,NONE,simple acknowledgment,0.0,0.0,0.0,0.0
162,,CHI,Daddy's &~bu .,NONE,unclear utterance without context,0.0,0.0,0.0,0.0
163,,MOT,mhm does Mommy have a spoon too ?,NONE,simple question,0.0,0.0,0.0,0.0
164,,MOT,or is that Jack's spoon ?,NONE,simple question,0.0,0.0,0.0,0.0
165,,CHI,Mommy's .,NONE,simple response,0.0,0.0,0.0,0.0
166,,CHI,xxx .,NONE,unclear utterance without context,0.0,0.0,0.0,0.0
167,,MOT,yeah .,NONE,normal conversational response,0.0,0.0,0.0,0.0
168,,CHI,xxx Daddy's here Mommy .,NONE,unclear utterance without context,0.0,0.0,0.0,0.0
169,,MOT,mhm .,NONE,simple acknowledgment,0.0,0.0,0.0,0.0
170,,MOT,you gonna put them back here ?,NONE,simple question,0.0,0.0,0.0,0.0
171,,MOT,okay that's nice .,NONE,simple acknowledgment,0.0,0.0,0.0,0.0
