Index,Timestamp,Speaker,Utterance,Traits,Justification,Confidence,ClarityScore,UniquenessScore,QualityScore
105,,CHI,"oh  [/] , oh for &~th , oh lemme &~k milk ?",T08,frequent hesitations and unclear speech; clarity=0.50; uniqueness=1.00; confidence=0.67,0.67,0.5,1.0,0.0
106,,CHI,milk ?,NONE,simple question; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
107,,CHI,xxx .,NONE,unclear utterance; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
108,,MOT,yeah is it right there ?,NONE,simple question; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
109,,CHI,yeah no he wants some .,NONE,simple statement; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
110,,MOT,oh baby says thank_you .,NONE,simple statement; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
111,,CHI,no that one's the baby .,NONE,simple statement; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
112,,MOT,oh the bigger baby needs some milk &=sips ?,NONE,question about baby; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
113,,CHI,xxx the baby .,NONE,unclear utterance; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
114,,MOT,&=sips .,NONE,unclear utterance; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
115,,CHI,he wants the baby .,NONE,simple statement; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
116,,MOT,"here's the big  [/] , big baby and the little baby .",NONE,simple statement; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
117,,CHI,no I wanna play with it .,NONE,simple statement; clarity=0.0; uniqueness=1.00; confidence=0.00,0.0,0.0,1.0,0.0
118,,MOT,okay .,NONE,normal conversational response,0.0,0.0,1.0,0.0
150,,MOT,oh good milk !,NONE,normal statement,0.0,0.0,0.0,0.0
151,,CHI,&=sips .,NONE,unclear utterance,0.0,0.0,0.0,0.0
152,,MOT,oh good milk !,NONE,normal statement,0.0,0.0,0.0,0.0
153,,MOT,it's delicious !,NONE,normal statement,0.0,0.0,0.0,0.0
154,,MOT,it's delicious !,NONE,normal statement,0.0,0.0,0.0,0.0
155,,CHI,sorry Mom .,NONE,normal apology,0.0,0.0,0.0,0.0
156,,CHI,xxx milk in there ?,NONE,unclear utterance,0.0,0.0,0.0,0.0
157,,MOT,are you gonna put the milk in the plate ?,NONE,normal question,0.0,0.0,0.0,0.0
158,,MOT,oh no we hafta do clean up !,NONE,normal statement,0.0,0.0,0.0,0.0
159,,CHI,it's my cup .,NONE,normal statement,0.0,0.0,0.0,0.0
160,,MOT,"it's your , oh very good Hagrid .",NONE,normal statement,0.0,0.0,0.0,0.0
161,,CHI,oh I wanna xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
162,,MOT,are you having your milk ?,NONE,normal question,0.0,0.0,0.0,0.0
163,,MOT,is it good milk ?,NONE,normal question,0.0,0.0,0.0,0.0
164,,CHI,Mommy has milk .,NONE,normal statement,0.0,0.0,0.0,0.0
165,,MOT,is it delicious ?,NONE,normal question,0.0,0.0,0.0,0.0
166,,CHI,Mommy &~ha has some milk .,NONE,unclear utterance,0.0,0.0,0.0,0.0
167,,MOT,oh I'm gonna stir my tea .,NONE,normal statement,0.0,0.0,0.0,0.0
168,,MOT,gonna stir my tea .,NONE,normal statement,0.0,0.0,0.0,0.0
169,,MOT,is it good milk ?,NONE,normal question,0.0,0.0,0.0,0.0
170,,CHI,where's the baby ?,NONE,normal question,0.0,0.0,0.0,0.0
171,,MOT,where's the baby ?,NONE,normal question,0.0,0.0,0.0,0.0
172,,MOT,you put the baby over there .,NONE,normal statement,0.0,0.0,0.0,0.0
173,,MOT,"oh look I got , what's that ?",NONE,normal statement,0.0,0.0,0.0,0.0
174,,CHI,that's a spoon .,NONE,normal statement,0.0,0.0,0.0,0.0
175,,MOT,okay .,NONE,normal conversational response,0.0,0.0,0.0,0.0
176,,MOT,you gonna stir your tea ?,NONE,normal question,0.0,0.0,0.0,0.0
177,,MOT,mm: it's delicious !,NONE,normal statement,0.0,0.0,0.0,0.0
178,,CHI,I'm stirring my cheerios .,NONE,normal statement,0.0,0.0,0.0,0.0
179,,MOT,oh you're stirring your cheerios .,NONE,normal statement,0.0,0.0,0.0,0.0
180,,MOT,okay oh it's delicious !,NONE,normal statement,0.0,0.0,0.0,0.0
181,,CHI,that's &~luca .,NONE,unclear utterance,0.0,0.0,0.0,0.0
182,,MOT,that's Rachel !,NONE,normal statement,0.0,0.0,0.0,0.0
183,,MOT,mm:  [/] mm:  [/] mm: those are good cheerios ?,NONE,unclear utterance,0.0,0.0,0.0,0.0
184,,CHI,mm:  [/] mm: good !,NONE,unclear utterance,0.0,0.0,0.0,0.0
185,,CHI,mm:  [/] mm:  [/] mm:  [/] mm: .,NONE,unclear utterance,0.0,0.0,0.0,0.0
186,,MOT,<was it>  [/] <was it>  [/] was it shreddies@g ?,NONE,unclear utterance,0.0,0.0,0.0,0.0
187,,MOT,or was it porridge ?,NONE,normal question,0.0,0.0,0.0,0.0
188,,CHI,it's porridge ?,NONE,normal statement,0.0,0.0,0.0,0.0
189,,MOT,it's porridge ?,NONE,normal statement,0.0,0.0,0.0,0.0
190,,MOT,oh does the baby need some milk Hagrid ?,NONE,normal question,0.0,0.0,0.0,0.0
191,,MOT,does the baby need some milk ?,NONE,normal question,0.0,0.0,0.0,0.0
192,,MOT,oh you're giving the baby cheerios !,NONE,normal statement,0.0,0.0,0.0,0.0
193,,MOT,oh and you're eating the cheerios !,NONE,normal statement,0.0,0.0,0.0,0.0
194,,MOT,"oh , wow , putting your cheerios in the teapot .",NONE,normal statement,0.0,0.0,0.0,0.0
195,,CHI,"and more &~c , more &~c , more milk ?",NONE,unclear utterance,0.0,0.0,0.0,0.0
196,,MOT,you're putting the milk in the teacup ?,NONE,normal question,0.0,0.0,0.0,0.0
197,,MOT,it's delicious !,NONE,normal statement,0.0,0.0,0.0,0.0
198,,CHI,mm: .,NONE,unclear utterance,0.0,0.0,0.0,0.0
199,,MOT,mm: good .,NONE,normal statement,0.0,0.0,0.0,0.0
200,,CHI,how (a)bout that cup !,NONE,simple statement about the cup,0.0,0.0,0.0,0.0
201,,CHI,that's my cup !,NONE,simple statement about ownership,0.0,0.0,0.0,0.0
202,,MOT,that's your cup ?,NONE,normal question,0.0,0.0,0.0,0.0
203,,CHI,what's in your cup Hagrid ?,T23,asks multiple questions rapidly about the cup; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
204,,CHI,hm: it's milk in there .,NONE,simple statement about the contents of the cup,0.0,0.0,0.0,0.0
205,,MOT,there's milk in the cup .,NONE,simple statement about the contents of the cup,0.0,0.0,0.0,0.0
206,,CHI,no its nothing there Hagrid .,T05,responds impulsively before the question is completed; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
207,,MOT,there's nothing there ?,NONE,normal question,0.0,0.0,0.0,0.0
208,,MOT,there's nothing there ?,NONE,normal question,0.0,0.0,0.0,0.0
209,,MOT,"<where's the>  [/] , where's the little baby Hagrid ?",NONE,normal question,0.0,0.0,0.0,0.0
210,,CHI,oh  [/] oh where the baby where the &~bay .,T06,"struggles to wait for conversational turn, speaking over others; clarity=0.75; uniqueness=1.00; confidence=0.85",0.85,0.75,1.0,0.0
211,,MOT,oh there's the little baby .,NONE,simple statement about the baby,0.0,0.0,0.0,0.0
212,,CHI,here Mom .,NONE,simple statement to mother,0.0,0.0,0.0,0.0
213,,MOT,oh well thank_you Hagrid .,NONE,simple statement of gratitude,0.0,0.0,0.0,0.0
214,,MOT,we'll put the little baby next to the big sister .,NONE,simple statement about the baby,0.0,0.0,0.0,0.0
215,,MOT,that's the big sister that's the little baby .,NONE,simple statement about the baby,0.0,0.0,0.0,0.0
216,,CHI,<it's belly>  [/] it's belly .,NONE,simple statement about the belly,0.0,0.0,0.0,0.0
217,,MOT,that's her belly .,NONE,simple statement about the belly,0.0,0.0,0.0,0.0
218,,MOT,yeah that's her belly .,NONE,simple statement about the belly,0.0,0.0,0.0,0.0
219,,CHI,this is jammies@g .,T09,"repeats phrase ""jammies"" in a non-contextual manner; clarity=0.75; uniqueness=1.00; confidence=0.85",0.85,0.75,1.0,0.0
220,,MOT,oh she's in her jammies@g ?,NONE,normal question,0.0,0.0,0.0,0.0
221,,MOT,is she going dodos@g ?,NONE,normal question,0.0,0.0,0.0,0.0
222,,CHI,yeah .,NONE,normal conversational response,0.0,0.0,0.0,0.0
223,,MOT,is she going dodos@g ?,NONE,normal question,0.0,0.0,0.0,0.0
224,,CHI,is  [/] is tummy .,T25,uses incomplete sentence frequently; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
225,,MOT,that's her tummy .,NONE,simple statement about the tummy,0.0,0.0,0.0,0.0
226,,MOT,&=grunts &~sh &=grunts &~sh .,NONE,"unclear utterance, lacks context",0.0,0.0,0.0,0.0
227,,CHI,&~i &~ah I'll touch it .,T33,makes continuous mouth sounds; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
228,,MOT,&=grunts &~sh .,NONE,"unclear utterance, lacks context",0.0,0.0,0.0,0.0
229,,CHI,this belly .,NONE,simple statement about the belly,0.0,0.0,0.0,0.0
230,,MOT,that's her belly .,NONE,simple statement about the belly,0.0,0.0,0.0,0.0
231,,CHI,xxx broke .,NONE,"unclear statement, lacks context",0.0,0.0,0.0,0.0
232,,MOT,I think she hasta go dodos@g .,NONE,simple statement about the baby,0.0,0.0,0.0,0.0
233,,MOT,she hasta go dodos@g .,NONE,simple statement about the baby,0.0,0.0,0.0,0.0
234,,MOT,quiet .,NONE,simple command,0.0,0.0,0.0,0.0
235,,CHI,xxx no he's not sleeping now .,T12,shows,0.0,0.0,0.0,0.0
